YuJ_2015	ERR475501	ERR475502	ERR475503	ERR475504	ERR475505	ERR475506	ERR475507	ERR475508	ERR475509	ERR475510
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.91607	0.56084	10.52535	1.18199	0.56947	3.00E-04	5.04205	0	0.26954	0.42604
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.83205	0.70385	1.13956	0.90162	0.30102	0.03541	0.0754	0	0.0034	16.31841
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	0.80785	0.40839	0.53412	4.68905	0.05714	0.0049	0.1548	0.28004	0	0.00848
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0.76883	0.49509	1.03964	0.30914	1.8278	9.69538	0.12556	4.27928	2.0218	5.07912
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	0.75213	0	0.18625	2.08954	0	0.00242	0.00078	0	0	0.00297
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__N4likevirus	0.59914	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.59297	0	24.736	0.00318	0	0.00121	0.00085	0	0.0031	0.00084
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	0.52905	0	2.47012	1.70371	0	0	0.00078	0	0	0.00099
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0.462	0.56542	0.03128	0	0.36368	0	0	0	0	0.0446
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Filifactor	0.42352	0	0	0	0.20132	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0.37538	0.02444	0	0	0	0	0	0	0.56146	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	0.35893	0.28817	0.03921	2.20147	0.68334	0.97222	0.00405	0.32254	0.45522	0.84789
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella	0.33368	0.21423	1.03372	0.00197	0.02656	0	0.01071	0.17572	0	0.04639
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	0.31958	0.01298	0	0	0	0.00082	0	0.31609	0	0.00301
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.31414	8.15513	0.99202	0.31236	0.4097	0.28057	0.06847	2.54976	9.11379	3.64467
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus	0.29021	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	0.27755	5.53951	0.00159	0.04191	0.29131	0.14684	0.03551	0.00337	0.44534	13.20191
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium	0.23564	0.09244	0.0044	0.13078	0.04721	0.00023	0.00461	0.00149	0	0.00367
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	0.1969	0.05895	0.46438	0.00103	0.03814	0.00195	4.00E-04	0.02819	3.30478	0.00139
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.19255	0.33845	0.54995	0.95195	0.07516	0.03717	0.93655	0.11867	0.02092	6.90589
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter	0.1902	0.02671	0	0.27786	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.18961	0.00308	0.08373	0.01207	0.00356	0	0.1409	0.00394	0	0.0034
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	0.18228	0	0	0.15561	0.01732	0.13228	0.33144	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	0.11261	0.02196	0.00369	0.00645	0.00376	0	0.01357	0.02647	0	0.02802
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname	0.10234	0	0.10041	0.02669	0.23022	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.07342	0.22552	0.04369	0.0464	0.26634	0.00612	0.01945	0.00039	0.38363	0.01449
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	0.07293	0.46107	0.00351	0.00234	0.02287	0.00895	0.02475	0.05082	0	1.60518
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0.03835	0.12042	0.02408	0.08584	0.08792	0.00597	0	0.00492	0.01672	0.20854
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	0.03174	0.04401	0.14728	0.13739	0	0	0	0	0.02809	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified	0.0273	0	0.004	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0.0236	0.00195	0.02843	0.15594	0.00221	0.00808	0.05872	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.02069	0	0	0	0	0	1.21247	0.00277	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea	0.01975	0	0	0	0	0.00432	0.02141	0.00898	0.07376	0.03727
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname	0.01427	0.02315	0.00084	0.00513	0	0.00134	0	0.00858	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichiaceae_unclassified	0.01424	0.0127	0	0	0.00291	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	0.01197	0.00471	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname	0.01045	0.14451	0.04104	2.30142	0.01804	0.06215	0.0221	0.13486	0	0.57272
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Morganella	0.00907	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella	0.00841	0	0.05731	0.00116	0	0	0.01629	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis	0.00743	0	0	0.04262	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella	0.00681	0	0.10459	0.00335	0.00482	0	0.0059	0.00647	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter	0.00519	0.16957	0.00244	0.00786	0.17953	0	0.22432	0	0.00345	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga	0.00381	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	0.00342	0	0.01305	0.0232	0.00909	0	0.00473	0.00274	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	0.00316	0.02383	0	0.08858	0.00075	0.0579	0.00786	0.02817	0.00359	0.00097
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified	0.0029	0	0	0	0	0	0	0	0	0
